Time (s),Rotation x (rad/s),Rotation y (rad/s),Rotation z (rad/s)
50.03292579,-0.011189062,0.148092881,0.001557499
50.05288079,-0.015201839,0.15425469,0.000755596
50.07283479,-0.017271703,0.159797758,0.001887991
50.09278979,-0.018548919,0.163740054,0.002650974
50.11274379,-0.01839314,0.164132059,0.001677062
50.13269879,-0.016814042,0.16613245,-0.000345832
50.15265279,-0.020727841,0.165316969,0.000481766
50.17260779,-0.020345369,0.163369745,0.000966304
50.19256179,-0.020372346,0.16083537,0.001536651
50.21251679,-0.020712875,0.157837003,-0.001047437
50.23247079,-0.021634983,0.150223762,0.001358035
50.25242579,-0.021871744,0.143418536,0.000302946
50.27237979,-0.020038771,0.135192469,0.002051295
50.29233479,-0.019318212,0.124955453,0.001466234
50.31228979,-0.015670555,0.117449008,0.002478044
50.33224379,-0.016576314,0.105699122,0.001920005
50.35219879,-0.016810331,0.092628121,-0.000490697
50.37215279,-0.014431633,0.079589255,0.000450484
50.39210779,-0.014865785,0.0676689,0.001435538
50.41206179,-0.009360554,0.054860111,4.9006E-05
50.43201679,-0.009774,0.040465277,0.000236933
50.45197079,-0.00456422,0.025741359,2.85585E-05
50.47192579,-0.006629816,0.009606058,0.001355881
50.49187979,-0.002840758,-0.00443241,-0.001156726
50.51183479,-0.001860659,-0.01747839,-0.000955826
50.53178879,0.00231934,-0.033233508,-0.00172794
50.55174379,0.003840166,-0.046863884,0.001004059
50.57169879,0.007286309,-0.061295845,0.001839129
50.59165279,0.010174358,-0.075592086,-0.00017416
50.61160779,0.005693818,-0.085960872,0.000189488
50.63156179,0.012725171,-0.099917106,-0.000852253
50.65151679,0.009935454,-0.109339416,-0.000582689
50.67147079,0.011038262,-0.119852819,1.04937E-05
50.69142579,0.014070502,-0.130614147,-0.001743288
50.71137979,0.014354419,-0.139197454,-0.004292294
50.73133479,0.018717872,-0.143235236,-0.002772776
50.75128879,0.015588844,-0.151683152,-0.00434073
50.77124379,0.017629799,-0.154199913,-0.00115088
50.79119779,0.016434819,-0.158680439,-0.001802583
50.81115279,0.017953886,-0.162484229,-0.003906801
50.83110679,0.01671266,-0.16121304,-0.004322257
50.85106179,0.020276746,-0.16393964,-0.001382793
50.87101679,0.020232467,-0.161355868,-0.004076426
50.89097042,0.022005029,-0.159204334,-0.002738456
50.91092542,0.019463528,-0.153685316,-0.003555996
50.93087942,0.021467388,-0.14942883,-0.002277127
50.95083442,0.017359776,-0.144080117,-0.001313819
50.97078842,0.01692294,-0.138218343,-0.000196537
50.99074342,0.016831437,-0.125160232,-0.003884139
51.01069742,0.016360423,-0.115841709,-0.000403924
51.03065242,0.017483057,-0.105979666,-0.004093602
51.05060642,0.016378948,-0.094629504,-0.000686118
51.07056142,0.013184307,-0.081970133,-0.000493522
51.09051542,0.010791053,-0.072108485,0.001072776
51.11047042,0.011675904,-0.058579769,-0.001767262
51.13042442,0.010756693,-0.046655104,-0.002003624
51.15037942,0.007633987,-0.029579842,-0.001876161
51.17033442,0.003971225,-0.015158429,-0.002537498
51.19028842,0.003834239,-0.001122095,0.000382802
51.21024342,0.003006113,0.012165087,-0.002178589
51.23019742,-0.002668761,0.027690299,0.000302224
51.25015242,-0.002620892,0.040768262,0.001541816
51.27010642,-0.003768108,0.05193283,0.001228259
51.29006142,-0.001999137,0.065584846,0.000445602
51.31001542,-0.006943227,0.079990178,0.00111326
51.32997042,-0.009237541,0.092519015,-0.000988937
51.34992442,-0.008087452,0.101894297,0.001759016
51.36987942,-0.011631146,0.113178827,4.27992E-05
51.38983342,-0.013877176,0.124342643,-0.001769453
51.40978842,-0.015121814,0.133146584,0.002641797
51.42974242,-0.013293169,0.139527664,0.004492912
51.44969742,-0.01445505,0.144645497,0.001247656
51.46965242,-0.017347151,0.149709582,0.000580072
51.48960642,-0.015745049,0.155603915,0.00181895
51.50956142,-0.018101055,0.159023225,0.001404723
51.52951542,-0.017944975,0.161057904,-0.000296281
51.54947042,-0.016330909,0.160543308,0.000387367
51.56942442,-0.020922637,0.157665312,0.000854301
51.58937942,-0.017872747,0.155674905,0.00159825
51.60933342,-0.016622497,0.152819812,0.000850558
51.62928842,-0.01914419,0.148521915,0.001085056
51.64924242,-0.016446903,0.142777771,0.000368535
51.66919742,-0.014731827,0.132516608,0.002510341
51.68915142,-0.016372979,0.127656773,0.003028792
51.70910642,-0.015925338,0.118194945,0.001722047
51.72906042,-0.01219918,0.108874112,0.000147994
51.74901542,-0.014545847,0.09738826,-0.000952747
51.76897042,-0.014221299,0.087706789,0.002408102
51.78892442,-0.012236446,0.073193088,-0.000588764
51.80887942,-0.012038518,0.060296521,0.000491449
51.82883342,-0.011507545,0.049042974,0.000397832
51.84878842,-0.009522351,0.033478726,-2.76745E-05
51.86874242,-0.00677019,0.021009391,0.00111707
51.88869696,-0.004122308,0.006434587,0.000877888
