Frequency (Hz),Rel. amplitude (a.u.)
0.674180975,0.996248191
0.671171157,1
0.683374295,0.981324801
0.68028202,0.984805081
0.677217757,0.988078602
0.674180975,0.991179664
0.671171157,0.994130097
0.671171157,0.992516092
0.668188243,0.993373833
0.674180975,0.98266232
0.674180975,0.980770781
0.674180975,0.978909042
0.677217757,0.972732218
0.677217757,0.971055142
0.677217757,0.969544596
0.68028202,0.963890094
0.683374295,0.958497844
0.686494654,0.952771317
0.692821806,0.943704934
0.696029402,0.939219026
0.699266673,0.935012676
0.702534363,0.931024762
0.705832571,0.927175716
0.705832571,0.927689195
0.705832571,0.92818986
0.705832571,0.92921616
0.705832571,0.929659163
0.705832571,0.92996731
0.705832571,0.930094088
0.705832571,0.930053744
0.702534363,0.934234332
0.702534363,0.933906526
0.702534363,0.933419435
0.702534363,0.932783706
0.699266673,0.935416601
0.699266673,0.934372993
0.699266673,0.933251922
0.699266673,0.932054198
0.696029402,0.935115699
0.696029402,0.933772678
0.696029402,0.932376255
0.696029402,0.930940718
0.696029402,0.927971068
0.696029402,0.926443447
0.696029402,0.924898042
0.696029402,0.923350431
0.696029402,0.921813331
0.696029402,0.920302439
0.696029402,0.918842404
0.696029402,0.917467888
0.696029402,0.916213398
0.696029402,0.914138765
0.696029402,0.913352727
0.696029402,0.912757317
0.696029402,0.912376869
0.696029402,0.912199266
0.699266673,0.907996692
0.699266673,0.908162571
0.699266673,0.908409284
0.699266673,0.908693723
0.699266673,0.909179418
0.699266673,0.909304097
0.699266673,0.90928917
0.702534363,0.904854614
0.702534363,0.904444694
0.699266673,0.908080539
0.699266673,0.907335475
0.699266673,0.906442798
0.699266673,0.905412252
0.699266673,0.902981908
0.699266673,0.901660036
0.699266673,0.900307826
0.699266673,0.898943105
0.699266673,0.897580472
0.699266673,0.896237614
0.699266673,0.894932708
0.699266673,0.893669424
0.699266673,0.891271458
0.699266673,0.890142396
0.699266673,0.889082788
0.699266673,0.888111306
0.699266673,0.887219639
0.702534363,0.882282932
0.702534363,0.881523327
0.702534363,0.880838347
0.702534363,0.880258865
0.702534363,0.879497583
0.702534363,0.879280314
0.702534363,0.879148398
0.702534363,0.879097748
0.702534363,0.879156947
0.702534363,0.879304492
0.702534363,0.879525303
0.702534363,0.879776039
0.702534363,0.879988893
0.702534363,0.880242407
0.702534363,0.880247838
0.699266673,0.884252981
0.699266673,0.883994614
0.699266673,0.883573269
0.699266673,0.882992518
0.699266673,0.882256562
0.699266673,0.881389891
0.699266673,0.880416175
0.699266673,0.878212263
0.699266673,0.877031843
0.699266673,0.875837047
0.699266673,0.874650607
0.699266673,0.873487936
0.699266673,0.872363369
0.699266673,0.871297056
0.702534363,0.866256582
0.702534363,0.864470737
0.702534363,0.863659461
0.702534363,0.862904554
0.702534363,0.862214914
0.702534363,0.861571746
0.702534363,0.860954396
0.702534363,0.860366246
0.702534363,0.859810607
0.702534363,0.859290339
0.702534363,0.858331073
0.702534363,0.857852608
0.702534363,0.857357865
0.702534363,0.856855834
0.702534363,0.856351867
0.702534363,0.855846963
0.702534363,0.855319518
0.702534363,0.85473852
0.699266673,0.85744088
0.699266673,0.856753251
0.699266673,0.85603442
0.699266673,0.855262273
0.699266673,0.854426635
0.699266673,0.853531484
0.699266673,0.852593912
0.699266673,0.85162548
0.699266673,0.850628225
0.699266673,0.848553371
0.699266673,0.847502535
0.699266673,0.846463125
0.699266673,0.845447005
0.699266673,0.844462195
0.699266673,0.843530679
0.699266673,0.842680031
0.699266673,0.841938827
0.699266673,0.841303643
0.699266673,0.840310024
0.699266673,0.839980756
0.702534363,0.835882258
0.702534363,0.835818943
0.702534363,0.835858575
0.702534363,0.835958831
0.702534363,0.836089517
0.702534363,0.836243204
0.702534363,0.836423381
0.702534363,0.83673659
0.702534363,0.836782489
0.702534363,0.836729899
0.702534363,0.836563745
0.702534363,0.836320729
0.702534363,0.835981118
0.702534363,0.83553395
0.702534363,0.834966377
0.702534363,0.83429373
0.702534363,0.832749237
0.702534363,0.831912617
0.702534363,0.831027893
0.702534363,0.830109132
0.702534363,0.829169851
0.702534363,0.828224884
0.702534363,0.827281043
0.702534363,0.826342752
0.702534363,0.824508695
0.702534363,0.823628774
0.702534363,0.822781042
0.702534363,0.821961533
0.702534363,0.821175637
0.702534363,0.820435967
0.702534363,0.819764735
0.702534363,0.819149521
0.702534363,0.818575018
0.702534363,0.81753357
0.702534363,0.817104555
0.702534363,0.816757109
0.702534363,0.816462526
0.702534363,0.816185468
0.702534363,0.815900525
0.702534363,0.815607255
0.702534363,0.815311043
0.702534363,0.81501929
0.702534363,0.814302528
0.702534363,0.813836731
0.702534363,0.8133081
0.702534363,0.812732773
0.702534363,0.812112835
0.702534363,0.811439863
0.702534363,0.810704599
0.702534363,0.809918817
0.702534363,0.809101994
0.702534363,0.807422193
0.702534363,0.806571164
0.702534363,0.805720242
0.702534363,0.80488112
0.702534363,0.804060595
0.702534363,0.803259345
0.702534363,0.802479448
0.702534363,0.801729588
0.702534363,0.800357518
0.702534363,0.799744922
0.702534363,0.79917375
0.702534363,0.798638136
0.702534363,0.798152302
0.702534363,0.79772272
0.702534363,0.797362625
0.702534363,0.797064677
0.702534363,0.79680758
0.702534363,0.796368634
0.702534363,0.79618876
0.702534363,0.796049758
0.702534363,0.795931762
0.702534363,0.795814756
0.702534363,0.7956697
0.702534363,0.795487186
0.702534363,0.795269772
0.702534363,0.795525678
0.702534363,0.795966161
0.702534199,0.796337339
0.702534363,0.796639713
0.702534199,0.79687535
0.702534363,0.797058871
0.702534199,0.797192351
0.702534363,0.797281608
0.702534363,0.797328874
0.702534363,0.79717147
0.702534363,0.796002217
0.702534363,0.790224204
0.702534199,0.787391284
0.702534363,0.787037095
0.702534199,0.78712692
0.702534363,0.787052348
0.702534199,0.785562981
0.702534363,0.780784954
0.705832737,0.769132711
0.705832571,0.768158978
0.705832737,0.767386412
0.705832571,0.76533234
0.705832571,0.761447891
0.705832571,0.757549245
0.705832571,0.755476291
0.705832571,0.754862006
0.705832571,0.754403588
0.705832668,0.751188795
0.705832834,0.749446958
0.705832668,0.748599718
0.705832834,0.748264262
0.705832668,0.747796584
0.705832668,0.7452547
